Rk,Team,GP,USAT_T,USATA_T,FF%_T,USAT_E,USATA_E,FF%_E,USAT_P,USATA_P,FF%_P,USAT_C,USATA_C,FF%_C
47,Canisius,36,1352,1663,44.8,994,1227,44.8,320,388,45.2,549,701,43.9
48,Brown,31,1104,1357,44.9,916,1101,45.4,161,221,42.1,514,652,44.1
49,Bowling Green,38,1825,1334,57.8,1390,1042,57.2,368,258,58.8,894,684,56.7
50,Boston University,34,1509,1433,51.3,1149,1139,50.2,312,260,54.5,720,723,49.9
51,Boston College,34,1473,1383,51.6,1113,1041,51.7,297,315,48.5,578,567,50.5
52,Bentley,36,1482,1289,53.5,1134,933,54.9,302,313,49.1,640,534,54.5
53,Bemidji State,37,1574,1391,53.1,1275,1158,52.4,252,185,57.7,770,653,54.1
54,Army,33,1378,1154,54.4,1043,944,52.5,302,174,63.4,598,551,52
55,Arizona State,36,1502,1708,46.8,1147,1333,46.3,298,339,46.8,717,810,47
56,American Int'l,34,1480,1298,53.3,1198,1114,51.8,226,150,60.1,681,644,51.4
57,Alaska-Anchorage,36,1131,1452,43.8,890,1108,44.5,212,303,41.2,557,672,45.3
58,Alaska,36,1396,1528,47.7,1090,1137,48.9,259,332,43.8,696,714,49.4
59,Alabama-Huntsville,34,1006,1793,35.9,767,1451,34.6,212,276,43.4,448,890,33.5
60,Air Force,36,1634,1294,55.8,1337,1023,56.7,263,228,53.6,873,683,56.1
