Rk,Team,GP,G,GA,Sh,Sh%,ShA,SV%,PP%,PK%,SHG,SHGA,FO%,PIM,G/G,GA/G,S/G,SA/G,PIM/G,Age,Ht,Wt
43,Northern Michigan,37,121,100,1026,11.8,1069,0.906,23.6,85.5,8,3,55.2,421,3.3,2.7,27.7,28.9,11.4,22.6,5-11.9,182.9
44,Notre Dame,37,85,97,1078,7.9,1296,0.925,20.3,75.4,2,3,49.7,424,2.3,2.6,29.1,35,11.5,22.2,6-0.9,192.2
45,Ohio State,38,122,96,1378,8.9,1090,0.912,22,89.5,10,4,47.8,461,3.2,2.5,36.3,28.7,12.1,22.7,6-0.5,190.5
46,Omaha,37,109,97,1138,9.6,1069,0.909,20.7,79,3,4,53,396,2.9,2.6,30.8,28.9,10.7,21.8,5-11.5,185.2
47,Penn State,37,120,104,1462,8.2,1088,0.904,15.2,76.5,2,3,55,318,3.2,2.8,39.5,29.4,8.6,22.3,6-0.0,185.6
48,Princeton,32,89,112,962,9.3,880,0.873,15,75,6,4,49.9,393,2.8,3.5,30.1,27.5,12.3,21.8,5-11.4,184.4
49,Providence,36,102,85,1274,8,875,0.903,18.2,82.3,6,2,53.5,375,2.8,2.4,35.4,24.3,10.4,21.3,6-0.3,186.7
50,Quinnipiac,36,144,57,1171,12.3,750,0.924,23.3,84.7,2,2,56.8,237,4,1.6,32.5,20.8,6.6,22.3,6-0.3,185.8
51,Rensselaer,35,84,115,896,9.4,1017,0.887,19.8,76.5,2,6,47.1,385,2.4,3.3,25.6,29.1,11,22.3,6-0.4,189.5
52,RIT,39,127,100,1197,10.6,1166,0.914,20.1,87.5,4,2,51.2,688,3.3,2.6,30.7,29.9,17.6,23,5-11.8,183.3
53,Sacred Heart,37,107,112,1111,9.6,993,0.887,16.2,80.7,1,3,48,295,2.9,3,30,26.8,8,22.11,5-11.8,180.8
54,St. Cloud State,37,122,89,1057,11.5,976,0.909,25.5,76.1,8,1,53.9,351,3.3,2.4,28.6,26.4,9.5,22.5,6-0.1,182.8
55,St. Lawrence,36,88,102,972,9.1,957,0.893,14.8,81.9,4,3,51,414,2.4,2.8,27,26.6,11.5,22.7,5-11.8,185.9
56,St. Thomas,36,86,117,901,9.5,1147,0.898,17.3,79.1,3,6,47.6,387,2.4,3.3,25,31.9,10.8,22.6,6-0.4,185
57,Stonehill,5,10,40,110,9.1,238,0.832,7.1,59.1,1,1,36.6,72,2,8,22,47.6,14.4,21.1,5-10.9,180
58,Union,35,86,117,823,10.4,1057,0.889,18,76.9,2,2,50,402,2.5,3.3,23.5,30.2,11.5,22.6,6-0.5,186
59,Vermont,36,69,103,926,7.5,1098,0.906,14.5,81.5,2,4,50.7,317,1.9,2.9,25.7,30.5,8.8,22.1,6-1.6,191.9
60,Western Michigan,38,147,97,1192,12.3,987,0.902,23.8,75.9,4,1,50.8,335,3.9,2.6,31.4,26,8.8,22.4,6-0.7,190
61,Wisconsin,36,94,126,1164,8.1,1146,0.89,21.2,78.9,4,3,53,436,2.6,3.5,32.3,31.8,12.1,21.6,6-0.4,188.9
62,Yale,32,57,94,709,8,969,0.903,11.8,80,3,6,48.1,354,1.8,2.9,22.2,30.3,11.1,22.2,5-11.8,188.8
